0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,6.8,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
28.2,4.2,0,28.8
4.2,0.4,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,13.4
0,1,19.2,10.4
0,0,0.8,46.6
0,6.4,0.2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.4,24.4,1.6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.2,0
0,0.2,0.4,0
0,34.2,2.4,8.8
0,0,1,0
0,2.4,5.2,20.4
0,0,0,17.8
0,0,0,0
0,0,0,0
0,0,0,0
0,0.8,8.6,2.8
0.2,0,0,0.4
0,0,0,1.4
1,9.4,4.4,0.2
0,0,0,0
0,18.8,23.8,10.4
0,0.4,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.2,0,17
7.6,9.6,1.8,28.2
0.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,3.2,1.4,6.6
2.6,0.2,0,0
0,0,0,0
4.8,9.2,3,0.4
0,0,0,0
0,0,0,0.4
0.2,0,0,0
0,0,0,0
0,11,8.8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2.2,0.6,2.4
2.6,0.8,5,8.4
1.8,1,15.6,3
2,0,0,19.8
24,23.6,11.2,0.8
0.2,0,0,0
0,0,0,0
0,0,0,6.8
16.8,9.8,4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.4,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.6
0.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,4.4,9
10,9,6.4,0.8
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,1.8,0.4,0.4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,6.6,3,2.2
0.2,8,1.4,1
0.4,0.2,10.6,3.4
2.6,0,3.4,12
0.6,0,0,0
0,0,1,3.4
0,0,1.8,2
1,0.4,0.4,0.6
1,0,0.2,1.6
17,3.8,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.2,21.4,11.6,0
0.2,0,0.2,0
0,0.4,0,0
0,0.2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,8.4,14
1.2,0,0,0
0,0,0,0
0,0,0,0
2,0,15.2,0.6
8.6,3.8,4.2,1.6
0,0,0.6,0
0,0,0,0
0,9.2,0.4,0
7.8,2,0,0
0,0,7.8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.8,12.6,13,13.4
9.8,2.4,8.2,18.6
1.8,1,21,0
0,0,10,3.8
0.6,0,0,0.2
0.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.4,0.2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0.6
0,0,0,0
0,0,0,0.6
0,0,0.6,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2.4,21.2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7.8,0,0,1.8
6.2,0,0.6,0
0,0,0,0
0,0,0,0
0,0,0,0
0.4,0,0,0
0,0,0,0
0.8,0.2,1.4,0
0,0,0,4.2
0,0,0,0
0.2,1.6,0,0.2
0,2,0.2,0
0,0,0.4,0
0,0,0.4,0.4
0,0,0,0.8
0,0,5,0.4
0,0,0,0.6
0,0,14.4,36.4
0,0,0.6,8.6
0,0.4,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,3.4,16.2,3.6
0.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,13.4,14.4,27.4
15.8,4.8,0.2,0
0,0,0,1.6
2.2,3,0,2
0,0,0,0
0,0,0,0
10.6,24.2,0,0
0,0,0,0
0,0,0,0
8.6,4.8,0,0
0,0.4,0,0
0,0,0,2.4
5.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.2
0,0,0,0.2
4.2,10.2,0.8,5.2
2,0,0,0
0,0,0,0
0.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.6,5.4,0
0.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,4.4
6,7,5.4,2.8
0.2,2.4,2.8,2.6
0.6,0,0,0
0,0,0,0
0,0.2,0,0.2
6.2,5,1,0.6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,4.2,1.2,1.8
0.4,4.6,6,18.4
0.8,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.2,0
0,0,0,0
0,0,0,2
0.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.2,2,0.2,0.4
0.8,4.4,3.4,2.4
1,8,4.6,4.6
2.2,0.4,0.6,0.2
0,0.2,0.2,0.8
0.4,0,0,0.6
0,0,0,0
0.4,0,0,0
0,0,0.2,0.2
0,0.8,4.4,4.2
7.2,1,0,0
0,0,0,0
0,0,0,0
0.6,7.2,2,0
2.4,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,5.6,9.2,5
1,7.4,3.8,0.4
0,0,0,0
0,0.2,0,0
0,0,0,0
0,0,0,1.6
5.2,3.6,5.2,5.2
7,7.6,4,0.2
0,0,0,0
0,0,0,0
0,5.4,19.6,22.4
18.2,3.2,2,5.2
14.6,3,0.8,0.2
0.2,1.2,0,0
0,0,0,0
0,0,0,0
0,0.2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.4,0.2
1,2.8,0.2,0
0,0.2,0,0
0,0,0,0
0,0.6,1.2,0.4
1,0.2,0,0
0,0,0,0
0,0,0,0.6
0.2,0,0.4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.2,2,0.4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.2,0,0
0,0.8,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1.4,6.2
1.4,0.8,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10.4,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.2,4.4,3.4,8.6
3.6,0.2,0,0
12.6,8,0.4,0.4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.6,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.4,0,7.6,2.4
0.4,0,0,0
0,2.4,4,1.4
1.2,0,0,0
3.4,1,0,0
0,0,0,0
0,0,5,0
2.4,0.8,1.6,0.2
0,0,2.4,2.4
0.4,0,5.4,0.4
0.2,0,0,4.8
0,0,0,0
0,0,0,0.4
0.2,0,0,0
0,0,0,0
0,0,0,0
1.4,0,0.2,0
10.4,10.4,1.8,0
0,0,4.8,7.2
9.4,1.8,6.2,1
0.4,1,0,0
0,0,0,0
0,0.6,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1.4,0
0,0,0,0
0,0,6.8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,2.8
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,3,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,2.4
0,0,0,0
0,0,0,0
0,0,0,18.6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,9,7,9.8
1.2,12.8,14.8,20
13,0,0,0
4.6,0,0,0
0,0,0,4.6
0,0,1.8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.4,0
0,0,34.2,32.6
22.4,3.2,0,0
0,0,0,0
0,0,0,0.2
0.6,0,0,0
0,0,1.6,2.2
4.2,1.8,6,3
0.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.2
3.2,0.4,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1.2,0,0.6
0,0,0,0
0,0,0,0
0,0,0.2,0.2
0,1.2,1.2,0.2
0,0,0,0
0,1.2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.6,0,0.6,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.6,0,0,1.4
0,0,0,0
0.6,0.2,0,0.6
24.8,0,0.4,2.6
6.6,0,0.4,0
8.4,12.2,0,0
0,0,0,0
0,0,0.2,0
0,0,0,0
0,0,0,0
0,0,0,0
0.2,0,0,0
0,0,0,0
0,0,0,1.8
5.6,0,0,0
0,0,0,0
0,0,4.8,0
0,0,0,0
2.2,9,1,10.4
10.4,0,0,26.8
6.6,0,0,17
0,0,1.6,0
0,0,0,0
0,0,7.2,0.4
0,0.6,2.4,0
12.2,6.6,4.4,1.2
0,0,0.2,0
1.4,0.2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2.2,0,0
0.2,5.6,3.8,0.2
4.8,5,0,0.2
12.8,3.6,0.4,0
0,0.6,4.2,2
0,0,0,0
0,0,0,1.6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,2.8
3.8,17.2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.6,1,0.8,4
1.4,0.2,0.2,0
0,0.6,0.2,0
0,0,0,0
0,1.4,3.2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1.8
5.8,43.2,26.4,5
3.8,34.2,30.4,13.4
3.4,6,2.4,1.2
0,0.2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.4,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.2,0.4,13.6,1.8
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1.4,3.2,0.4
0.2,2.4,0.6,1.2
1.6,0.8,0,0
0,2.2,1.4,13.2
3,7.2,1,0
8.6,7,0.2,0.8
0,3.2,7.4,0.8
0,0,0,0
0,0,9.8,0
0.8,0,0,1.6
8.4,0.2,0,0
0.2,0,0,0
5.8,3.6,0,0
0,0,0,0
0,0,0,0
0,0,0,0.8
0,0,0,0
0,0,0,0.4
0,0,0,0
0,0,0,0
0.8,3.4,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1.4,0
0,0,1.8,0.4
2.6,6.4,9,23.6
6.4,1.8,0,0.6
0,0,0,1.2
0.6,0,0.2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.6,4.8,2.8,2.2
5.6,1.2,0,1.4
0.6,0.6,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.2,0.4
0,2,1,2
2.2,0.4,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.2,0.4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1.2
6.8,7.2,0.8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.6,0
1.2,0.8,6.8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.2,0.6
0,0,1.2,0
0,0.8,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,4.8
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,2.2
2.4,5.2,10.2,8.2
1.4,0,0,0
0,0,0,0
0,0,0,0
3.2,1.8,4.4,0.6
0.4,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.2,0,0
0,12.4,2,0
0,0,0,0
0,0,0,2
0.8,0,0,0
0,0,0,0
0,12.2,28.4,1.8
0,0.2,0,0
0,0,0,0
0,1.2,18.4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,20.6,32.2
13.8,8.4,2.4,0.6
0,0,18.8,9.6
0.4,14.6,0.2,0
0,0,1.2,0
0,0,0,3
0,0,0,0
0.2,0,0,0
0,0,0,0
0,5,18.2,0.2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,8.6,18.4,11.4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.2
0,0,0,0
0,0,0,0
0,0,2,68.8
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,26.2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
45.8,5.8,0,0
0,0,0,13.8
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,3.8
0,0,0,30
19.6,0,0.4,0.2
0,0,0,0
0,0,0,0
3.6,0,0,1.4
0.4,0,0,0.2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1.8,0.6
11.6,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,7.6
2,4.6,14,0.4
0,0,0,0
0,0,0,0
0,0,0.2,0
0,0,0,0
0,0,0,0
0,0,0,0
4.8,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,8.8,2.6,1.8
1.6,0.2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,10.6,15.4
13.6,10.8,6.6,11
0.2,0,9.8,19.8
5.2,0,0,0
3.6,17,0.2,0
0,0,0,1.2
0.6,0.2,1.4,4.8
17.2,14.4,0.2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1.2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2.8,0,0.8
0,0,0,0
0,0,0,0
0,0.2,0,0.8
0.2,1,2,3
0.2,0,0,0
0.2,0,0,0
0,0,11,29
7.2,2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0.6,0,0,0.4
0.6,12,16.6,16.2
13.4,5.4,5.6,26.2
22.6,9.6,0,0.6
0.2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,2
2.4,5.4,1.2,0
0,0,0,0
0,0,0,0.2
0,0,0,0
0,0,0,0
0,0.4,0.4,1.6
0.2,2.4,0.2,0.8
0.6,1.4,4.6,7.6
0,0.2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.4,0,0,0
0,0.6,0.8,2
2.6,2.8,13.6,4.8
1,0.4,0,0
0,1.6,10,2.2
0,0,0,0
0,0,0,0.6
0.6,0.8,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,13.4,11.2
11,2.8,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.6,1.2
0.8,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,2.2,3.8
3.6,1.6,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1.2,0
0,0,0,0.2
0,0,0,0
0,0,0,7
0.4,4.6,0,0
0,1.6,12.2,13
0,0,0,0
0,1.6,0,0
2.2,2.2,4.6,0
0,1.8,5,0
0,0,0,0
4.6,11.6,0,0.2
0,0,0,0
0,0.4,3.6,12.8
8,0,0,3.2
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,16.2,2
0,0,0,0
0,0,0.6,1.4
0.8,5,3.6,6.2
7.2,0,0,0
0,0,0.2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,26.4
0,0,0,0
3.4,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.2
75.4,0.2,2.4,21.6
0,0,0,0
0.4,0.2,0,0.2
0,0.2,0.2,0
